"age","sex","mx","location","sex_age_cat"
60,"male",0.00642053450774735,"Australia","male_60"
60,"female",0.00366366326310571,"Australia","female_60"
61,"male",0.00680971624983821,"Australia","male_61"
61,"female",0.00426578680570642,"Australia","female_61"
62,"male",0.00739924898731557,"Australia","male_62"
62,"female",0.00449742289050836,"Australia","female_62"
63,"male",0.00838571271039467,"Australia","male_63"
63,"female",0.00486193533626003,"Australia","female_63"
64,"male",0.00893018433722638,"Australia","male_64"
64,"female",0.00506180105944673,"Australia","female_64"
65,"male",0.00941990248011534,"Australia","male_65"
65,"female",0.0054776925692267,"Australia","female_65"
66,"male",0.0104830538941726,"Australia","male_66"
66,"female",0.00587377159719925,"Australia","female_66"
67,"male",0.0107971745711403,"Australia","male_67"
67,"female",0.00658109128482295,"Australia","female_67"
68,"male",0.0119392308478387,"Australia","male_68"
68,"female",0.00718402380530356,"Australia","female_68"
69,"male",0.0132361616003115,"Australia","male_69"
69,"female",0.00797306241949349,"Australia","female_69"
7,"male",7.2266083720258e-05,"Australia","male_7"
7,"female",5.07681861161703e-05,"Australia","female_7"
70,"male",0.0149494585920394,"Australia","male_70"
70,"female",0.0090584205377439,"Australia","female_70"
71,"male",0.0161951546009777,"Australia","male_71"
71,"female",0.00991485965909417,"Australia","female_71"
72,"male",0.0167170706331502,"Australia","male_72"
72,"female",0.0105716235960444,"Australia","female_72"
73,"male",0.020913839228842,"Australia","male_73"
73,"female",0.0131662016577399,"Australia","female_73"
74,"male",0.0215913089872972,"Australia","male_74"
74,"female",0.0140564835888407,"Australia","female_74"
75,"male",0.0241085817480949,"Australia","male_75"
75,"female",0.0158146545325828,"Australia","female_75"
76,"male",0.0286551880754779,"Australia","male_76"
76,"female",0.0186272636562427,"Australia","female_76"
77,"male",0.0292337235252209,"Australia","male_77"
77,"female",0.0195289559721967,"Australia","female_77"
78,"male",0.0346711801365534,"Australia","male_78"
78,"female",0.0227778251034065,"Australia","female_78"
79,"male",0.0390570472983914,"Australia","male_79"
79,"female",0.0255937329565174,"Australia","female_79"
8,"male",7.45594944463252e-05,"Australia","male_8"
8,"female",6.37763236775979e-05,"Australia","female_8"
80,"male",0.0441580881458227,"Australia","male_80"
80,"female",0.0289041870992078,"Australia","female_80"
81,"male",0.0497828154829612,"Australia","male_81"
81,"female",0.0341472731051606,"Australia","female_81"
82,"male",0.0562141352509624,"Australia","male_82"
82,"female",0.0386365412241316,"Australia","female_82"
83,"male",0.063064599987002,"Australia","male_83"
83,"female",0.0439020255953894,"Australia","female_83"
84,"male",0.0722392211404729,"Australia","male_84"
84,"female",0.0521082197972493,"Australia","female_84"
85,"male",0.0843437169682273,"Australia","male_85"
85,"female",0.0601370927849622,"Australia","female_85"
86,"male",0.0951761327003107,"Australia","male_86"
86,"female",0.0673833312254964,"Australia","female_86"
87,"male",0.107293312269616,"Australia","male_87"
87,"female",0.0806389211297187,"Australia","female_87"
88,"male",0.11650400070342,"Australia","male_88"
88,"female",0.0880865932693058,"Australia","female_88"
89,"male",0.13458110516934,"Australia","male_89"
89,"female",0.102050502108749,"Australia","female_89"
9,"male",7.000700070007e-05,"Australia","male_9"
9,"female",3.57992713795355e-05,"Australia","female_9"
90,"male",0.157944159258796,"Australia","male_90"
90,"female",0.119181893375442,"Australia","female_90"
91,"male",0.175573892701987,"Australia","male_91"
91,"female",0.139656138234153,"Australia","female_91"
92,"male",0.20043722265727,"Australia","male_92"
92,"female",0.158990035058633,"Australia","female_92"
93,"male",0.213387741642966,"Australia","male_93"
93,"female",0.176554460355837,"Australia","female_93"
94,"male",0.240731248932172,"Australia","male_94"
94,"female",0.200031072788006,"Australia","female_94"
95,"male",0.260740043900909,"Australia","male_95"
95,"female",0.226922296611889,"Australia","female_95"
96,"male",0.291969959560947,"Australia","male_96"
96,"female",0.252977002090719,"Australia","female_96"
97,"male",0.324088082030593,"Australia","male_97"
97,"female",0.287167891464104,"Australia","female_97"
98,"male",0.333850129198966,"Australia","male_98"
98,"female",0.305667472468439,"Australia","female_98"
99,"male",0.345208845208845,"Australia","male_99"
99,"female",0.317560022333892,"Australia","female_99"
100,"male",0.345208845208845,"Australia","male_100"
100,"female",0.317560022333892,"Australia","female_100"
0,"male",0.00244558571777941,"Australian Capital Territory","male_0"
0,"female",0.00240628166160081,"Australian Capital Territory","female_0"
1,"male",0.000491823435386696,"Australian Capital Territory","male_1"
1,"female",0.000511247443762781,"Australian Capital Territory","female_1"
10,"male",0.000241808729295128,"Australian Capital Territory","male_10"
10,"female",0.000129349372655543,"Australian Capital Territory","female_10"
11,"male",0,"Australian Capital Territory","male_11"
11,"female",0.000530363298859719,"Australian Capital Territory","female_11"
12,"male",0,"Australian Capital Territory","male_12"
12,"female",0.000271997824017408,"Australian Capital Territory","female_12"
13,"male",0.000389863547758285,"Australian Capital Territory","male_13"
13,"female",0.000139004726160689,"Australian Capital Territory","female_13"
14,"male",0,"Australian Capital Territory","male_14"
14,"female",0.000590493061706525,"Australian Capital Territory","female_14"
15,"male",0.000556250869141983,"Australian Capital Territory","male_15"
15,"female",0.00073909830007391,"Australian Capital Territory","female_15"
16,"male",0.00128205128205128,"Australian Capital Territory","male_16"
16,"female",0,"Australian Capital Territory","female_16"
17,"male",0.00012640626975098,"Australian Capital Territory","male_17"
17,"female",0.000759878419452888,"Australian Capital Territory","female_17"
18,"male",0.00057332874670336,"Australian Capital Territory","male_18"
18,"female",0.000120423892100193,"Australian Capital Territory","female_18"
