"year","sex","brsc","utrc","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
0,"female",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"female",1.00513751631609,1.01000066343224,1.01229271442899,0.987950634012524,1.00743521723641,0.991802910008594,1.02273501590637,1.01666972862922,1,0.987498689469123,0.993788659623948,0.992094530992764,0.977457067345371,0.991152455961023,0.991152455961023,0.996981225805585,1.00046853125958,1.01401560946055,0.983047603651892
2,"female",1.01030142670608,1.02010134013357,1.02473653968602,0.976046455245749,1.01492571692818,0.983673012301514,1.04598691276099,1.03361733711102,1,0.975153661703236,0.987615899997164,0.984251558425753,0.955422318503413,0.982383190957568,0.982383190957568,0.993971564608806,1.0009372820407,1.02822765622964,0.966382591045727
3,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.97369151241242,0.97369151241242,0.990970988899583,1.00140625244621,1.04263889349589,0.950000090338408
4,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.965076733875973,0.965076733875973,0.987979471250878,1.00187544257902,1.0572521130355,0.933895312276253
5,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
6,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
7,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
8,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
9,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
10,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
11,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
12,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
13,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
14,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
15,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
16,"female",1.01549186676995,1.03030303030303,1.03733333333333,0.964285714285714,1.02247191011236,0.975609756097561,1.06976744186047,1.05084745762712,1,0.962962962962963,0.981481481481481,0.976470588235294,0.933884297520661,0.956538174972014,0.956538174972014,0.984996984318454,1.00234485254207,1.07207014575314,0.918063548794906
