"year","sex","tbalc","carc","prsc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
0,"male",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"male",0.985970090074157,0.977750584453364,1,1.01846053055307,0.989472902420101,1.02057129536073,1.01760924144629,0.978716910292216,0.991700862172704,0.987840739614063,0.997378755998369,0.963603658350974,0.990636872089616,0.990636872089616,0.997811747670244,1.00048021782661,1.01066973143762,0.989193227288267
2,"male",0.97213701852084,0.955996205398896,1,1.03726185229444,0.979056624623659,1.04156576891429,1.0355285682769,0.957886790491941,0.983470600034085,0.97582932684126,0.994764382916855,0.92853201038738,0.981361412343498,0.981361412343498,0.995628283788747,1.00096066626237,1.02145330604419,0.978503240912977
3,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.972172799913411,0.972172799913411,0.993449597877175,1.00144134541805,1.03235193849575,0.967928778790736
4,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.963070221636825,0.963070221636825,0.991275679480126,1.00192225540442,1.04336685642861,0.957468592477199
5,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
6,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
7,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
8,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
9,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
