"year","sex","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","prsc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
0,"male",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"male",0.955162503135862,0.895026530668225,0.96797777031361,0.953880536641694,1.01655929307234,1.00847498034911,1,0.990243280263552,0.968130955593951,0.97801481757616,0.960353705642329,1.02134787868813,0.959486034232207,0.959486034232207,1,1.00048256228896,1.01449663682631,1
10,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
100,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
11,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
12,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
13,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
14,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
15,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
16,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
17,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
18,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
19,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
2,"male",0.912335407396766,0.801072490599999,0.936980963821308,0.909888078183846,1.03339279633174,1.01702178599014,1,0.98058175410712,0.937277547179256,0.95651298339853,0.922279239940954,1.04315148930073,0.920613449886647,0.920613449886647,1,1.00096535744429,1.02920342613189,1
20,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
21,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
22,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
23,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
24,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
25,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
26,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
27,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
28,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
29,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
3,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.883315748092569,0.883315748092569,1,1.00144838557835,1.04412341442092,1
30,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
31,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
