"year","sex","brsc","utrc","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
0,"female",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"female",0.970365676332813,0.99114997834522,0.993730242702839,0.890987026485849,0.959137296860253,0.977264805918825,1.01492757390611,1,1,0.949914251592996,0.956465591386195,1,1.05349726357396,0.962355525505328,0.962355525505328,1,1.00047670797078,1.00446086564077,1
10,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
100,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
11,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
12,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
13,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
14,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
15,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
16,"female",0.913705583756345,0.973684210526316,0.981308411214953,0.707317073170732,0.882352941176471,0.933333333333333,1.04545454545455,1,1,0.857142857142857,0.875,1,1.16923076923077,0.825425195202863,0.825425195202863,1,1.00238581344237,1.02250421109023,1
